Topic;Question;Correct Answer ;Subtopic;Reference;Latest update;Link
11;According to the ACR, which Gadolinium-based contrast media is contraindicated in patients with eGFR of <30mL/min/1.73m2 with regards to development of NSF?;"Group I GBCM:
- Gadodiamide (Omniscan)
- Gadopentetate dimeglumine (Magnevist)
- Gadoversetamide (OptiMARK)";Medication and Contrast agent;ACR Manual on Contrast Media;2024;https://www.acr.org/-/media/ACR/Files/Clinical-Resources/Contrast_Media.pdf
12;What are the recommendations for intravenous application of iodinated contrast media in a patient taking metformin with no evidence of acute kidney injury and an eGFR of 35 mL/min/1.73m2?;In this patient there is no need to discontinue metformin either prior to or following the intravenous administration of iodinated contrast media, nor is there an obligatory need to reassess the patient�s renal function following the test or procedure.;Medication and Contrast agent;ACR Manual on Contrast Media;2024;https://www.acr.org/-/media/ACR/Files/Clinical-Resources/Contrast_Media.pdf
13;Name two common drugs that may reduce bowel movement in pelvic MRI.;Butylscopolamine and Glucagon;Medication and Contrast agent;Radiopaedia;-;"https://radiopaedia.org/articles/hyoscine-n-butylbromide-buscopan
https://radiopaedia.org/articles/glucagon"
14;What is the difference between Gadobutrol and Gadoxetate disodium in terms of excretion?;Gadobutrol is excreted entirely via the kidneys. Gadoxetate disodium is excreted through both the liver (50%) and kidneys (50%).;Medication and Contrast agent;Radiopaedia;-;"https://radiopaedia.org/articles/gadobutrol
https://radiopaedia.org/articles/gadoxetate-disodium"
15;What is the recommendation for application of gadolinium-based contrast medium in breast-feeding patients?;Because of the very small percentage of gadolinium-based contrast medium that is excreted into the breast milk and absorbed by the infant�s gut, the available data suggest that it is safe for the mother and infant to continue breast-feeding after receiving such an agent.;Medication and Contrast agent;ACR Manual on Contrast Media;2024;https://www.acr.org/-/media/ACR/Files/Clinical-Resources/Contrast_Media.pdf
16;How does a higher pitch affect image quality and radiation dose in helical CT scanning?;A higher pitch reduces image quality due to decreased sampling density but lowers radiation dose;Physics;Radiopaedia;-;https://radiopaedia.org/articles/pitch-ct
17;Which two reference radiodensities are used to create the Hounsfield-scale?;The Hounsfield scale uses air (-1000 HU) and water (0 HU) as reference radiodensities.;Physics;Radiopaedia;-;https://radiopaedia.org/articles/hounsfield-unit
18;What are gradient coils used for in MRI in terms of basic image acquisition?;Gradient coils in an MRI scanner are used to spatially encode the MRI signal (Slice selection, phase and frequency encoding);Physics;Radiopaedia;-;https://radiopaedia.org/articles/gradient-coils-1
19;How does higher slice thickness influence spatial resolution and signal-to-noise ratio in MRI?;In MRI, increasing slice thickness improves the signal-to-noise ratio (SNR) by capturing more signal, but it reduces spatial resolution by averaging information over a larger volume.;Physics;mrimaster;-;https://mrimaster.com/mri-slice-thickness/
20;Which TE is used to generate opposed-phase images in 1.5T systems?;In 1.5T MRI systems, opposed-phase images are typically generated at a TE (echo time) of approximately 2.2 milliseconds.;Physics;Chemical Shift Imaging;2016;https://www.sciencedirect.com/topics/medicine-and-dentistry/chemical-shift-imaging#:~:text=At%201.5%20T%2C%20the%20most,in%2Dphase%20imaging%2C%20respectively.
